Draw Date,No1,No2,No3,No4,No5,PB,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
19th May 2007,3,19,21,26,45,2,2,$53.3 Million,R,,,,
16th May 2007,6,7,16,34,42,23,2,$43.1 Million,R,,,,
12th May 2007,30,44,46,51,53,25,3,$34.4 Million,R,,,,
9th May 2007,2,13,30,44,52,40,4,$25.4 Million,R,,,,
5th May 2007,13,21,29,40,50,6,2,$20 Million,R,,,,
2nd May 2007,1,8,35,40,47,9,3,$15 Million,R,,,,
28th April 2007,16,22,43,46,49,10,4,$67 Million,1,NH,,,
25th April 2007,12,13,14,17,53,11,4,$56.8 Million,R,,,,
21st April 2007,22,26,28,33,45,17,4,$47.1 Million,R,,,,
18th April 2007,6,10,12,13,24,19,3,$36.5 Million,R,,,,
14th April 2007,12,21,36,38,49,18,10,$27.5 Million,R,,,,
11th April 2007,6,15,38,42,51,18,2,$20 Million,R,,,,
7th April 2007,2,28,31,54,55,23,4,$15 Million,R,,,,
4th April 2007,19,30,39,40,53,16,5,$15 Million,1,SC,,,
31st March 2007,2,5,16,36,40,36,2,$40.7 Million,1,WI,,,
28th March 2007,6,20,35,37,47,1,2,$30.1 Million,R,,,,
24th March 2007,10,38,40,48,53,3,5,$20.4 Million,R,,,,
21st March 2007,16,24,38,53,54,5,5,$15 Million,R,,,,
17th March 2007,7,17,44,47,54,3,3,$182 Million,1,OR,,,
14th March 2007,4,27,30,39,44,18,2,$161 Million,R,,,,
10th March 2007,14,18,34,42,43,32,5,$142 Million,R,,,,
7th March 2007,13,16,18,19,46,36,5,$123 Million,R,,,,
3rd March 2007,1,5,16,22,48,6,3,$106 Million,R,,,,
28th February 2007,13,20,41,42,53,2,3,$91.5 Million,R,,,,
24th February 2007,36,38,42,54,55,24,3,$79.1 Million,R,,,,
21st February 2007,2,8,22,29,37,3,3,$67.7 Million,R,,,,
17th February 2007,1,15,35,37,45,32,3,$57 Million,R,,,,
14th February 2007,3,26,30,54,55,15,3,$46.7 Million,R,,,,
10th February 2007,2,11,16,41,42,16,3,$37.4 Million,R,,,,
7th February 2007,4,22,28,37,52,10,3,$27.4 Million,R,,,,
3rd February 2007,12,13,20,33,42,37,5,$20 Million,R,,,,
31st January 2007,2,15,25,42,48,14,4,$15 Million,R,,,,
27th January 2007,10,19,26,27,32,14,5,$15 Million,1,AZ,,,
24th January 2007,9,19,29,42,53,17,3,$254 Million,1,MO,,,
20th January 2007,1,5,26,32,38,30,5,$212 Million,R,,,,
17th January 2007,16,35,49,50,52,31,2,$179 Million,R,,,,
13th January 2007,1,21,23,25,26,4,2,$157 Million,R,,,,
10th January 2007,36,42,45,53,54,36,2,$134 Million,R,,,,
6th January 2007,1,24,40,49,50,38,4,$117 Million,R,,,,
3rd January 2007,10,12,24,35,55,31,3,$102 Million,R,,,,
31st December 2008,7,8,11,17,53,36,5,$81.9 Million,R,,,,
27th December 2008,12,15,26,31,43,10,5,$72.3 Million,R,,,,
24th December 2008,2,17,22,32,41,8,5,$64 Million,R,,,,
20th December 2008,3,14,19,32,54,24,5,$54.7 Million,R,,,,
17th December 2008,7,11,18,24,30,26,4,$50.6 Million,R,,,,
13th December 2008,14,26,28,31,40,13,2,$43 Million,R,,,,
10th December 2008,6,15,24,37,41,37,4,$35 Million,R,,,,
6th December 2008,9,35,39,43,53,10,5,$30 Million,R,,,,
3rd December 2008,16,17,21,25,55,3,5,$25 Million,R,,,,
29th November 2008,5,33,36,39,55,21,4,$20 Million,R,,,,
26th November 2008,11,26,31,34,52,14,2,$15 Million,R,,,,
22nd November 2008,17,19,26,32,45,14,4,$57.6 Million,1,IN,,,
19th November 2008,8,13,38,39,45,31,4,$51.3 Million,R,,,,
15th November 2008,3,7,8,12,44,37,2,$42.4 Million,R,,,,
12th November 2008,1,18,25,29,45,2,2,$33 Million,R,,,,
8th November 2008,2,4,21,36,40,41,2,$25 Million,R,,,,
5th November 2008,4,8,18,33,36,32,2,$20 Million,R,,,,
1st November 2008,4,6,26,40,41,15,4,$15 Million,R,,,,
29th October 2008,20,30,37,50,52,33,2,$58.6 Million,1,PA,,,
25th October 2008,1,3,14,38,48,2,2,$49.7 Million,R,,,,
22nd October 2008,10,17,33,51,52,5,3,$42.2 Million,R,,,,
18th October 2008,10,14,32,40,49,15,4,$33.6 Million,R,,,,
15th October 2008,3,13,32,38,48,13,4,$25 Million,R,,,,
11th October 2008,3,7,17,39,47,9,4,$20 Million,R,,,,
8th October 2008,2,12,17,48,54,2,4,$15 Million,R,,,,
4th October 2008,1,4,26,32,39,18,5,$20 Million,1,PA,,,
1st October 2008,8,9,39,43,55,26,2,$15 Million,R,,,,
27th September 2008,13,24,29,40,52,29,4,$206 Million,1,NM,,,
24th September 2008,5,13,21,32,36,33,5,$177 Million,R,,,,
20th September 2008,6,28,30,40,47,24,5,$156 Million,R,,,,
17th September 2008,12,23,26,32,44,20,3,$136 Million,R,,,,
13th September 2008,7,17,29,43,51,38,2,$120 Million,R,,,,
10th September 2008,14,15,28,37,53,18,2,$105 Million,R,,,,
6th September 2008,17,25,26,49,54,11,4,$91.5 Million,R,,,,
3rd September 2008,38,40,46,49,50,34,2,$80.7 Million,R,,,,
30th August 2008,2,14,15,32,47,36,3,$70.9 Million,R,,,,
27th August 2008,13,31,36,48,49,11,2,$61.9 Million,R,,,,
23rd August 2008,18,24,33,47,48,23,3,$52.8 Million,R,,,,
20th August 2008,15,16,24,35,47,26,2,$43.2 Million,R,,,,
16th August 2008,5,34,40,43,52,20,5,$34.7 Million,R,,,,
13th August 2008,5,10,19,23,31,26,4,$25.6 Million,R,,,,
9th August 2008,32,40,43,49,53,21,5,$20 Million,R,,,,
6th August 2008,5,24,36,37,51,19,4,$15 Million,R,,,,
2nd August 2008,2,5,28,33,54,30,5,$86.3 Million,1,PA,,,
30th July 2008,3,25,45,51,55,13,3,$75.4 Million,R,,,,
26th July 2008,12,13,21,51,55,18,4,$64.9 Million,R,,,,
23rd July 2008,11,14,35,41,52,2,4,$54.1 Million,R,,,,
19th July 2008,6,28,46,53,55,2,3,$44.7 Million,R,,,,
16th July 2008,3,15,23,29,42,17,4,$33.8 Million,R,,,,
12th July 2008,2,12,20,22,50,17,2,$25.3 Million,R,,,,
9th July 2008,5,7,31,49,53,14,4,$20 Million,R,,,,
5th July 2008,1,24,34,47,48,18,5,$15 Million,R,,,,
2nd July 2008,4,33,46,48,52,17,5,$84.9 Million,1,OK,,,
28th June 2008,14,26,32,34,44,6,3,$73.8 Million,R,,,,
25th June 2008,14,21,25,45,53,9,2,$64.2 Million,R,,,,
21st June 2008,7,8,9,31,50,31,2,$54.1 Million,R,,,,
18th June 2008,9,12,31,39,52,32,4,$43.4 Million,R,,,,
14th June 2008,9,11,20,31,50,14,4,$34.2 Million,R,,,,
11th June 2008,7,18,21,28,49,1,5,$25 Million,R,,,,
7th June 2008,12,26,34,44,48,9,2,$20 Million,R,,,,
4th June 2008,5,18,20,40,52,3,3,$15 Million,R,,,,
31st May 2008,3,9,14,17,25,8,4,$34.1 Million,1,LA,,,
28th May 2008,10,18,22,37,45,9,2,$25 Million,R,,,,
24th May 2008,33,40,41,51,52,6,2,$20 Million,R,,,,
21st May 2008,7,16,21,33,42,25,4,$15 Million,R,,,,
17th May 2008,12,14,15,21,43,30,3,$35.3 Million,1,SC,,,
14th May 2008,19,21,29,32,46,32,2,$25.7 Million,R,,,,
10th May 2008,7,18,30,41,45,6,2,$20 Million,R,,,,
7th May 2008,9,25,26,28,42,26,2,$15 Million,R,,,,
3rd May 2008,2,28,36,42,46,40,3,$180 Million,1,MN,,,
30th April 2008,1,17,25,43,51,38,3,$160 Million,R,,,,
26th April 2008,7,12,17,27,45,24,5,$143 Million,R,,,,
23rd April 2008,11,20,21,22,39,1,10,$126 Million,R,,,,
19th April 2008,13,19,24,33,39,8,3,$111 Million,R,,,,
16th April 2008,11,16,18,21,51,16,10,$92 Million,R,,,,
12th April 2008,11,29,48,52,55,36,4,$80.2 Million,R,,,,
9th April 2008,3,13,19,32,46,18,4,$68.8 Million,R,,,,
5th April 2008,12,27,30,37,47,26,5,$58.4 Million,R,,,,
2nd April 2008,1,34,37,44,55,33,4,$47.3 Million,R,,,,
29th March 2008,18,20,25,31,36,7,5,$37.8 Million,R,,,,
26th March 2008,9,12,20,37,49,17,2,$27.2 Million,R,,,,
22nd March 2008,7,25,28,46,48,19,3,$20 Million,R,,,,
19th March 2008,6,8,29,41,49,42,4,$15 Million,R,,,,
15th March 2008,6,22,42,43,47,16,2,$276 Million,1,WV,,,
12th March 2008,12,19,30,34,36,8,4,$238 Million,R,,,,
8th March 2008,17,29,31,34,49,16,2,$204 Million,R,,,,
5th March 2008,10,15,16,23,31,5,3,$175 Million,R,,,,
1st March 2008,2,19,21,31,55,19,4,$153 Million,R,,,,
27th February 2008,20,24,37,48,53,11,5,$135 Million,R,,,,
23rd February 2008,8,13,23,29,47,32,3,$117 Million,R,,,,
20th February 2008,9,12,20,22,36,31,3,$103 Million,R,,,,
16th February 2008,3,4,8,20,49,18,3,$89 Million,R,,,,
13th February 2008,13,19,32,38,51,30,3,$74.7 Million,R,,,,
9th February 2008,4,23,24,30,43,28,5,$64.6 Million,R,,,,
6th February 2008,3,5,12,42,43,5,5,$53 Million,R,,,,
2nd February 2008,14,16,25,26,44,30,3,$43.8 Million,R,,,,
30th January 2008,2,17,41,54,55,17,2,$34 Million,R,,,,
26th January 2008,11,35,39,53,54,24,2,$25.7 Million,R,,,,
23rd January 2008,4,16,35,47,48,39,3,$20 Million,R,,,,
19th January 2008,20,23,25,27,28,2,5,$15 Million,R,,,,
16th January 2008,9,18,19,38,47,11,5,$97 Million,1,LA,,,
12th January 2008,23,39,43,47,53,14,3,$84.6 Million,R,,,,
9th January 2008,2,13,20,21,23,24,3,$72.9 Million,R,,,,
5th January 2008,4,11,16,33,40,9,4,$62.5 Million,R,,,,
2nd January 2008,2,11,31,34,48,5,4,$52.7 Million,R,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
